sale_date,sale_year,sale_month,sale_quarter,weekday,store,region,category,product_name,quantity,unit_price,total_sales
2024-08-15,2024.0,8.0,3.0,Thursday,Store C,EAST,ACCESSORIES,Tablet Plus,5,1884.73,2386.44
2024-06-12,2024.0,6.0,2.0,Wednesday,Store A,SOUTH,ACCESSORIES,Laptop Pro - 15,1,1699.67,1699.67
2024-06-03,2024.0,6.0,2.0,Monday,Store E,EAST,ACCESSORIES,Ltp Pro 15,1,1107.23,1107.23
2024-03-24,2024.0,3.0,1.0,Sunday,Store B,NORTH,ACCESSORIES,Laptop Pro15,10,1337.02,13370.2
2024-07-29,2024.0,7.0,3.0,Monday,Store-C,EAST,ELECTRONICS,Laptop Pro - 15,1,204.59,204.59
2024-03-18,2024.0,3.0,1.0,Monday,Store-B,SOUTH,ELECTRONICS,Ltp Pro 15,8,869.55,4655.57
2024-05-19,2024.0,5.0,2.0,Sunday,Store A,SOUTH,ACCESSORIES,Smartphone X,4,661.92,2647.68
2024-02-04,2024.0,2.0,1.0,Sunday,Store-B,EAST,ELECTRONICS,Laptop Pro15,7,132.84,929.88
2024-11-03,2024.0,11.0,4.0,Sunday,Store-B,EAST,ELECTRONICS,Smartfone X,7,1449.43,10146.01
2024-04-05,2024.0,4.0,2.0,Friday,Store-C,NORTH,ELECTRONICS,Smart Phone X,1,532.77,1918.72
2024-02-09,2024.0,2.0,1.0,Friday,Store E,SOUTH,ACCESSORIES,Ltp Pro 15,9,1260.26,3706.4
2024-08-25,2024.0,8.0,3.0,Sunday,Store-B,WEST,ELECTRONICS,Smart Phone X,5,63.11,1871.46
2024-03-26,2024.0,3.0,1.0,Tuesday,Store C,EAST,ACCESSORIES,Ltp Pro 15,8,1588.41,12707.28
2024-12-02,2024.0,12.0,4.0,Monday,Store-D,WEST,ACCESSORIES,Smartfone X,9,1559.17,3142.2
2024-01-09,2024.0,1.0,1.0,Tuesday,Store-D,EAST,ELECTRONICS,Smart Phone X,4,1362.35,713.36
2024-03-10,2024.0,3.0,1.0,Sunday,Store B,EAST,ELECTRONICS,Ltp Pro 15,10,1453.11,3747.47
2024-05-04,2024.0,5.0,2.0,Saturday,Store-B,WEST,ACCESSORIES,Laptop Pro15,5,768.4,3842.0
2024-07-18,2024.0,7.0,3.0,Thursday,Store-C,NORTH,ELECTRONICS,Smartphone X,8,655.87,5246.96
2024-10-07,2024.0,10.0,4.0,Monday,Store E,EAST,ACCESSORIES,Smart Phone X,7,879.01,6153.07
2024-09-24,2024.0,9.0,3.0,Tuesday,Store B,EAST,ACCESSORIES,Ltp Pro 15,2,1343.71,2687.42
2024-07-27,2024.0,7.0,3.0,Saturday,Store C,NORTH,ELECTRONICS,Laptop Pro 15,6,519.36,3116.16
2024-01-05,2024.0,1.0,1.0,Friday,Store C,SOUTH,ACCESSORIES,Smart Phone X,5,1321.42,2278.65
2024-03-07,2024.0,3.0,1.0,Thursday,Store A,WEST,ACCESSORIES,Laptop Pro - 15,9,1885.71,16971.39
2024-11-03,2024.0,11.0,4.0,Sunday,Store B,NORTH,ELECTRONICS,Ltp Pro 15,9,567.86,5110.74
2024-01-25,2024.0,1.0,1.0,Thursday,Store A,WEST,ELECTRONICS,Tablet Plus,6,1893.1,1948.86
2024-05-17,2024.0,5.0,2.0,Friday,Store B,EAST,ELECTRONICS,Tablet Plus,1,1187.08,4301.72
2024-06-03,2024.0,6.0,2.0,Monday,Store-C,NORTH,ELECTRONICS,Laptop Pro15,3,227.86,683.58
2024-06-04,2024.0,6.0,2.0,Tuesday,Store-A,EAST,ACCESSORIES,Tablet,10,1799.58,17995.8
2024-07-07,2024.0,7.0,3.0,Sunday,Store E,NORTH,ELECTRONICS,Laptop Pro 15,4,872.12,400.84
2024-05-03,2024.0,5.0,2.0,Friday,Store D,EAST,ACCESSORIES,Smartfone X,1,197.03,2582.97
2024-12-06,2024.0,12.0,4.0,Friday,Store C,WEST,ACCESSORIES,Smartphone X,4,674.1,2696.4
2024-12-08,2024.0,12.0,4.0,Sunday,Store A,SOUTH,ELECTRONICS,Laptop Pro 15,7,1926.25,13483.75
2024-05-01,2024.0,5.0,2.0,Wednesday,Store-A,WEST,ACCESSORIES,Laptop Pro 15,10,980.28,3869.61
2024-10-12,2024.0,10.0,4.0,Saturday,Store E,WEST,ELECTRONICS,Smart Phone X,1,92.5,1801.35
2024-08-09,2024.0,8.0,3.0,Friday,Store-A,EAST,ELECTRONICS,Laptop Pro15,1,850.79,850.79
2024-06-14,2024.0,6.0,2.0,Friday,Store D,NORTH,ELECTRONICS,Laptop Pro - 15,9,1267.11,11403.99
2024-07-11,2024.0,7.0,3.0,Thursday,Store-B,SOUTH,ACCESSORIES,Ltp Pro 15,1,1195.1,1195.1
2024-05-29,2024.0,5.0,2.0,Wednesday,Store D,EAST,ELECTRONICS,Smartphone X,9,1212.58,3195.56
2024-06-17,2024.0,6.0,2.0,Monday,Store-A,WEST,ELECTRONICS,Tablet,3,884.71,3746.8
2024-05-06,2024.0,5.0,2.0,Monday,Store C,WEST,ACCESSORIES,Ltp Pro 15,8,1511.14,12089.12
2024-02-15,2024.0,2.0,1.0,Thursday,Store C,SOUTH,ACCESSORIES,Tablet,4,1078.08,4312.32
2024-06-12,2024.0,6.0,2.0,Wednesday,Store A,SOUTH,ELECTRONICS,Tablet,9,1058.41,9525.69
2024-02-11,2024.0,2.0,1.0,Sunday,Store D,SOUTH,ACCESSORIES,Laptop Pro15,6,1160.77,4918.26
2024-08-09,2024.0,8.0,3.0,Friday,Store-A,WEST,ELECTRONICS,Smart Phone X,2,1131.56,4315.76
2024-07-14,2024.0,7.0,3.0,Sunday,Store-A,EAST,ELECTRONICS,Laptop Pro 15,4,622.25,2489.0
2024-07-10,2024.0,7.0,3.0,Wednesday,Store-D,NORTH,ACCESSORIES,Laptop Pro 15,4,1117.48,4469.92
2024-09-08,2024.0,9.0,3.0,Sunday,Store-D,NORTH,ELECTRONICS,Smart Phone X,10,1653.11,16531.1
2024-07-17,2024.0,7.0,3.0,Wednesday,Store E,WEST,ELECTRONICS,Tablet Plus,6,710.02,2323.88
2024-12-24,2024.0,12.0,4.0,Tuesday,Store A,NORTH,ELECTRONICS,Tablet Plus,9,334.5,4575.68
2024-07-19,2024.0,7.0,3.0,Friday,Store-D,WEST,ACCESSORIES,Laptop Pro15,9,798.38,3457.94
2024-09-16,2024.0,9.0,3.0,Monday,Store-A,WEST,ELECTRONICS,Laptop Pro 15,2,1578.56,3465.35
2024-07-23,2024.0,7.0,3.0,Tuesday,Store B,WEST,ELECTRONICS,Laptop Pro 15,5,69.98,1218.06
2024-11-30,2024.0,11.0,4.0,Saturday,Store-A,NORTH,ELECTRONICS,Laptop Pro15,6,1083.02,6498.12
2024-09-28,2024.0,9.0,3.0,Saturday,Store-A,WEST,ELECTRONICS,Smartfone X,6,77.98,2162.75
2024-06-08,2024.0,6.0,2.0,Saturday,Store-E,NORTH,ACCESSORIES,Ltp Pro 15,2,1101.44,2202.88
2024-09-23,2024.0,9.0,3.0,Monday,Store-C,NORTH,ELECTRONICS,Smartphone X,3,784.69,3560.62
2024-04-27,2024.0,4.0,2.0,Saturday,Store-E,NORTH,ACCESSORIES,Laptop Pro 15,1,1016.19,1016.19
2024-10-02,2024.0,10.0,4.0,Wednesday,Store-E,NORTH,ACCESSORIES,Smart Phone X,8,937.59,888.1
2024-06-05,2024.0,6.0,2.0,Wednesday,Store D,SOUTH,ELECTRONICS,Laptop Pro 15,4,190.37,761.48
2024-08-22,2024.0,8.0,3.0,Thursday,Store-E,EAST,ACCESSORIES,Laptop Pro - 15,6,1678.78,2737.63
2024-10-13,2024.0,10.0,4.0,Sunday,Store A,WEST,ACCESSORIES,Smartfone X,9,1524.16,13717.44
2024-09-10,2024.0,9.0,3.0,Tuesday,Store C,WEST,ELECTRONICS,Tablet Plus,8,1704.23,1715.32
2024-04-14,2024.0,4.0,2.0,Sunday,Store-A,WEST,ACCESSORIES,Ltp Pro 15,4,339.83,1359.32
2024-08-05,2024.0,8.0,3.0,Monday,Store-A,NORTH,ELECTRONICS,Smartfone X,10,1816.7,18167.0
2024-04-10,2024.0,4.0,2.0,Wednesday,Store A,NORTH,ELECTRONICS,Laptop Pro 15,7,1934.11,13538.77
2024-08-25,2024.0,8.0,3.0,Sunday,Store-D,NORTH,ACCESSORIES,Smartfone X,4,1150.73,4602.92
2024-08-31,2024.0,8.0,3.0,Saturday,Store C,NORTH,ELECTRONICS,Smartfone X,5,1529.22,7646.1
2024-08-13,2024.0,8.0,3.0,Tuesday,Store A,SOUTH,ACCESSORIES,Smartphone X,10,357.89,875.59
2024-02-27,2024.0,2.0,1.0,Tuesday,Store-D,NORTH,ACCESSORIES,Tablet,9,119.17,1072.53
2024-04-11,2024.0,4.0,2.0,Thursday,Store-E,SOUTH,ACCESSORIES,Tablet Plus,8,1166.2,9329.6
2024-04-30,2024.0,4.0,2.0,Tuesday,Store C,NORTH,ACCESSORIES,Laptop Pro15,5,916.64,4583.2
2024-07-10,2024.0,7.0,3.0,Wednesday,Store-E,SOUTH,ELECTRONICS,Tablet,7,601.11,4207.77
2024-08-20,2024.0,8.0,3.0,Tuesday,Store-B,SOUTH,ACCESSORIES,Laptop Pro 15,10,275.19,2392.75
2024-09-30,2024.0,9.0,3.0,Monday,Store A,SOUTH,ELECTRONICS,Smartphone X,8,1828.22,1239.48
2024-11-12,2024.0,11.0,4.0,Tuesday,Store A,WEST,ELECTRONICS,Laptop Pro - 15,5,1129.84,1634.61
2024-03-08,2024.0,3.0,1.0,Friday,Store-E,SOUTH,ELECTRONICS,Laptop Pro15,5,440.63,2203.15
2024-03-31,2024.0,3.0,1.0,Sunday,Store B,NORTH,ELECTRONICS,Tablet Plus,3,1140.97,3422.91
2024-03-30,2024.0,3.0,1.0,Saturday,Store D,SOUTH,ACCESSORIES,Smartfone X,4,132.34,2906.25
2024-05-30,2024.0,5.0,2.0,Thursday,Store C,SOUTH,ACCESSORIES,Smart Phone X,1,554.34,2713.47
2024-01-24,2024.0,1.0,1.0,Wednesday,Store C,NORTH,ACCESSORIES,Laptop Pro - 15,10,336.39,997.89
2024-12-28,2024.0,12.0,4.0,Saturday,Store-E,WEST,ACCESSORIES,Laptop Pro - 15,2,1349.34,2698.68
2024-09-23,2024.0,9.0,3.0,Monday,Store A,SOUTH,ACCESSORIES,Laptop Pro - 15,5,604.01,3020.05
2024-09-14,2024.0,9.0,3.0,Saturday,Store A,WEST,ACCESSORIES,Smartphone X,7,410.07,2870.49
2024-05-08,2024.0,5.0,2.0,Wednesday,Store D,NORTH,ACCESSORIES,Smart Phone X,7,256.38,1794.66
2024-12-07,2024.0,12.0,4.0,Saturday,Store E,WEST,ACCESSORIES,Smart Phone X,9,58.24,3857.83
2024-09-14,2024.0,9.0,3.0,Saturday,Store E,SOUTH,ELECTRONICS,Ltp Pro 15,3,1205.27,3615.81
2024-12-22,2024.0,12.0,4.0,Sunday,Store-B,SOUTH,ELECTRONICS,Laptop Pro - 15,10,1211.05,12110.5
2024-12-20,2024.0,12.0,4.0,Friday,Store C,EAST,ELECTRONICS,Smartphone X,7,632.89,4430.23
2024-09-14,2024.0,9.0,3.0,Saturday,Store-E,WEST,ACCESSORIES,Smartphone X,9,169.69,1527.21
2024-12-15,2024.0,12.0,4.0,Sunday,Store-C,SOUTH,ACCESSORIES,Laptop Pro 15,2,280.12,2761.34
2024-11-28,2024.0,11.0,4.0,Thursday,Store B,EAST,ELECTRONICS,Laptop Pro - 15,5,1961.21,9806.05
2024-12-24,2024.0,12.0,4.0,Tuesday,Store D,SOUTH,ELECTRONICS,Laptop Pro15,10,846.47,1151.38
2024-08-14,2024.0,8.0,3.0,Wednesday,Store A,WEST,ELECTRONICS,Laptop Pro15,8,941.62,7532.96
2024-12-14,2024.0,12.0,4.0,Saturday,Store-E,EAST,ACCESSORIES,Tablet,2,1519.54,1514.42
2024-04-23,2024.0,4.0,2.0,Tuesday,Store B,WEST,ELECTRONICS,Tablet,9,956.89,4779.17
2024-03-01,2024.0,3.0,1.0,Friday,Store C,EAST,ACCESSORIES,Tablet Plus,2,1939.71,3879.42
2024-05-23,2024.0,5.0,2.0,Thursday,Store-E,WEST,ELECTRONICS,Laptop Pro15,4,1864.52,1243.34
2024-02-22,2024.0,2.0,1.0,Thursday,Store A,WEST,ACCESSORIES,Smart Phone X,4,1540.29,6161.16
2024-10-16,2024.0,10.0,4.0,Wednesday,Store-A,NORTH,ELECTRONICS,Smart Phone X,8,582.52,4660.16
2024-06-05,2024.0,6.0,2.0,Wednesday,Store-C,SOUTH,ELECTRONICS,Laptop Pro 15,3,1704.44,5113.32
2024-09-23,2024.0,9.0,3.0,Monday,Store-B,SOUTH,ELECTRONICS,Smartphone X,2,77.08,154.16
2024-12-18,2024.0,12.0,4.0,Wednesday,Store D,WEST,ELECTRONICS,Smart Phone X,6,463.11,2624.28
2024-02-11,2024.0,2.0,1.0,Sunday,Store C,NORTH,ELECTRONICS,Laptop Pro15,10,1825.34,18253.4
2024-11-26,2024.0,11.0,4.0,Tuesday,Store-C,WEST,ELECTRONICS,Tablet,8,1045.65,8365.2
2024-08-17,2024.0,8.0,3.0,Saturday,Store-B,WEST,ACCESSORIES,Laptop Pro 15,5,306.76,484.28
2024-03-26,2024.0,3.0,1.0,Tuesday,Store C,SOUTH,ACCESSORIES,Smartfone X,8,462.88,3703.04
2024-07-10,2024.0,7.0,3.0,Wednesday,Store A,SOUTH,ELECTRONICS,Smart Phone X,9,158.61,1427.49
2024-04-01,2024.0,4.0,2.0,Monday,Store C,EAST,ELECTRONICS,Smart Phone X,7,1811.27,3195.46
2024-12-20,2024.0,12.0,4.0,Friday,Store C,NORTH,ELECTRONICS,Laptop Pro 15,8,1871.57,3214.67
2024-04-09,2024.0,4.0,2.0,Tuesday,Store B,NORTH,ELECTRONICS,Smart Phone X,9,1721.61,15494.49
2024-10-17,2024.0,10.0,4.0,Thursday,Store C,EAST,ELECTRONICS,Laptop Pro - 15,10,183.11,372.28
2024-01-30,2024.0,1.0,1.0,Tuesday,Store C,WEST,ACCESSORIES,Laptop Pro 15,5,439.12,798.09
2024-07-29,2024.0,7.0,3.0,Monday,Store-C,SOUTH,ACCESSORIES,Tablet,1,1108.88,1108.88
2024-10-28,2024.0,10.0,4.0,Monday,Store A,NORTH,ACCESSORIES,Laptop Pro 15,10,410.97,4109.7
2024-07-23,2024.0,7.0,3.0,Tuesday,Store-D,WEST,ACCESSORIES,Smartfone X,3,1348.31,4044.93
2024-04-29,2024.0,4.0,2.0,Monday,Store A,WEST,ACCESSORIES,Smartphone X,2,400.47,800.94
2024-04-08,2024.0,4.0,2.0,Monday,Store C,NORTH,ACCESSORIES,Smart Phone X,3,963.86,2891.58
2024-09-12,2024.0,9.0,3.0,Thursday,Store-B,WEST,ELECTRONICS,Smart Phone X,7,1985.92,13901.44
2024-02-04,2024.0,2.0,1.0,Sunday,Store-E,EAST,ELECTRONICS,Tablet,4,115.57,462.28
2024-01-02,2024.0,1.0,1.0,Tuesday,Store C,NORTH,ACCESSORIES,Ltp Pro 15,9,999.46,2802.65
2024-04-15,2024.0,4.0,2.0,Monday,Store B,NORTH,ACCESSORIES,Smart Phone X,5,1372.14,3764.61
2024-10-30,2024.0,10.0,4.0,Wednesday,Store C,EAST,ELECTRONICS,Tablet Plus,9,602.36,5421.24
2024-10-28,2024.0,10.0,4.0,Monday,Store A,NORTH,ELECTRONICS,Laptop Pro - 15,4,1674.66,6698.64
2024-06-05,2024.0,6.0,2.0,Wednesday,Store D,WEST,ACCESSORIES,Smartphone X,4,1478.46,2277.63
2024-01-26,2024.0,1.0,1.0,Friday,Store B,EAST,ELECTRONICS,Smartfone X,2,819.28,1638.56
2024-08-25,2024.0,8.0,3.0,Sunday,Store B,EAST,ACCESSORIES,Smart Phone X,1,963.34,963.34
2024-05-14,2024.0,5.0,2.0,Tuesday,Store-B,WEST,ELECTRONICS,Ltp Pro 15,5,518.52,2592.6
2024-10-12,2024.0,10.0,4.0,Saturday,Store D,WEST,ACCESSORIES,Laptop Pro - 15,10,984.88,9848.8
2024-03-24,2024.0,3.0,1.0,Sunday,Store A,EAST,ACCESSORIES,Smartphone X,2,1863.21,3726.42
2024-12-17,2024.0,12.0,4.0,Tuesday,Store-D,SOUTH,ACCESSORIES,Smart Phone X,8,127.05,1016.4
2024-12-17,2024.0,12.0,4.0,Tuesday,Store-C,SOUTH,ELECTRONICS,Smartfone X,2,463.57,3578.68
2024-07-21,2024.0,7.0,3.0,Sunday,Store B,NORTH,ACCESSORIES,Laptop Pro - 15,3,837.96,2513.88
2024-06-10,2024.0,6.0,2.0,Monday,Store D,SOUTH,ACCESSORIES,Laptop Pro - 15,7,1587.86,11115.02
2024-04-22,2024.0,4.0,2.0,Monday,Store A,WEST,ACCESSORIES,Smartfone X,6,1306.6,7839.6
2024-01-04,2024.0,1.0,1.0,Thursday,Store-A,WEST,ELECTRONICS,Laptop Pro - 15,3,304.49,671.3
2024-10-21,2024.0,10.0,4.0,Monday,Store E,WEST,ACCESSORIES,Tablet,8,1765.63,14125.04
2024-04-09,2024.0,4.0,2.0,Tuesday,Store A,EAST,ACCESSORIES,Laptop Pro - 15,3,1553.52,4272.64
2024-07-25,2024.0,7.0,3.0,Thursday,Store-E,WEST,ACCESSORIES,Smartphone X,8,1694.74,13557.92
2024-09-27,2024.0,9.0,3.0,Friday,Store-D,WEST,ACCESSORIES,Laptop Pro - 15,3,1419.1,4257.3
2024-10-21,2024.0,10.0,4.0,Monday,Store B,SOUTH,ELECTRONICS,Laptop Pro - 15,2,964.68,2516.21
2024-08-13,2024.0,8.0,3.0,Tuesday,Store-C,SOUTH,ELECTRONICS,Laptop Pro15,8,367.68,2941.44
2024-06-24,2024.0,6.0,2.0,Monday,Store D,EAST,ELECTRONICS,Tablet,4,1956.5,7826.0
2024-02-28,2024.0,2.0,1.0,Wednesday,Store A,NORTH,ELECTRONICS,Laptop Pro15,6,448.31,4959.7
2024-09-25,2024.0,9.0,3.0,Wednesday,Store-C,EAST,ELECTRONICS,Laptop Pro15,6,734.14,4404.84
2024-09-07,2024.0,9.0,3.0,Saturday,Store B,WEST,ACCESSORIES,Smartphone X,2,1024.12,2048.24
2024-03-23,2024.0,3.0,1.0,Saturday,Store C,WEST,ELECTRONICS,Smartfone X,7,989.34,6925.38
2024-07-10,2024.0,7.0,3.0,Wednesday,Store C,EAST,ACCESSORIES,Tablet,10,255.41,3938.07
2024-05-08,2024.0,5.0,2.0,Wednesday,Store E,SOUTH,ACCESSORIES,Laptop Pro15,10,1761.14,17611.4
2024-12-10,2024.0,12.0,4.0,Tuesday,Store C,SOUTH,ACCESSORIES,Smart Phone X,6,769.41,1516.59
2024-09-22,2024.0,9.0,3.0,Sunday,Store E,WEST,ACCESSORIES,Smart Phone X,7,564.63,3952.41
2024-01-08,2024.0,1.0,1.0,Monday,Store-A,WEST,ELECTRONICS,Smartphone X,1,327.54,327.54
2024-12-14,2024.0,12.0,4.0,Saturday,Store-A,NORTH,ELECTRONICS,Laptop Pro15,5,1326.37,1522.4
2024-12-28,2024.0,12.0,4.0,Saturday,Store B,EAST,ELECTRONICS,Laptop Pro - 15,2,1057.24,2114.48
2024-09-20,2024.0,9.0,3.0,Friday,Store-C,NORTH,ELECTRONICS,Smartphone X,5,399.66,1998.3
2024-07-19,2024.0,7.0,3.0,Friday,Store-A,SOUTH,ELECTRONICS,Smartphone X,2,18.86,4147.29
2024-05-16,2024.0,5.0,2.0,Thursday,Store E,WEST,ELECTRONICS,Tablet,4,1654.99,6619.96
2024-11-03,2024.0,11.0,4.0,Sunday,Store-D,WEST,ACCESSORIES,Smartfone X,1,1560.38,1560.38
2024-10-08,2024.0,10.0,4.0,Tuesday,Store A,NORTH,ACCESSORIES,Laptop Pro15,5,1841.97,9209.85
2024-02-18,2024.0,2.0,1.0,Sunday,Store-C,WEST,ELECTRONICS,Laptop Pro 15,9,540.85,4867.65
2024-02-05,2024.0,2.0,1.0,Monday,Store-B,SOUTH,ELECTRONICS,Smartfone X,5,1602.61,8013.05
2024-09-02,2024.0,9.0,3.0,Monday,Store E,WEST,ACCESSORIES,Smart Phone X,8,969.5,7756.0
2024-03-24,2024.0,3.0,1.0,Sunday,Store-D,SOUTH,ELECTRONICS,Smart Phone X,7,980.14,6860.98
2024-07-31,2024.0,7.0,3.0,Wednesday,Store-E,SOUTH,ACCESSORIES,Smartfone X,8,111.79,894.32
2024-02-15,2024.0,2.0,1.0,Thursday,Store-C,WEST,ELECTRONICS,Laptop Pro - 15,8,366.82,2934.56
2024-04-24,2024.0,4.0,2.0,Wednesday,Store C,WEST,ACCESSORIES,Smartfone X,5,1051.67,5258.35
2024-09-05,2024.0,9.0,3.0,Thursday,Store-A,SOUTH,ACCESSORIES,Tablet Plus,8,1857.84,4476.45
2024-01-04,2024.0,1.0,1.0,Thursday,Store C,SOUTH,ACCESSORIES,Ltp Pro 15,4,1001.61,3774.06
2024-11-12,2024.0,11.0,4.0,Tuesday,Store B,NORTH,ELECTRONICS,Smartfone X,7,766.13,5362.91
2024-12-08,2024.0,12.0,4.0,Sunday,Store C,SOUTH,ELECTRONICS,Smartphone X,7,852.23,5965.61
2024-06-12,2024.0,6.0,2.0,Wednesday,Store E,NORTH,ACCESSORIES,Ltp Pro 15,2,1492.1,2984.2
2024-01-15,2024.0,1.0,1.0,Monday,Store-A,NORTH,ACCESSORIES,Tablet Plus,1,474.63,474.63
2024-04-15,2024.0,4.0,2.0,Monday,Store A,EAST,ACCESSORIES,Smart Phone X,2,514.78,1029.56
2024-04-03,2024.0,4.0,2.0,Wednesday,Store C,SOUTH,ELECTRONICS,Laptop Pro15,3,1448.04,848.84
2024-02-15,2024.0,2.0,1.0,Thursday,Store-D,WEST,ELECTRONICS,Laptop Pro - 15,10,176.37,1763.7
2024-09-30,2024.0,9.0,3.0,Monday,Store-A,NORTH,ELECTRONICS,Laptop Pro - 15,5,222.41,1112.05
2024-06-13,2024.0,6.0,2.0,Thursday,Store B,EAST,ACCESSORIES,Smartphone X,1,1489.66,2024.69
