sale_date,store,region,product_name,category,unit_price,quantity,total_sales,notes,last_update,sale_year,sale_month,sale_quarter,weekday
,Store-E,NORTH,Tablet,,289.1,3,867.3000000000001,,2024-03-02 00:00,,,,
2024-07-04,Store E,NORTH,Smartfone X,,214.04,8,1712.32,check later,10/24/2024 12:00 AM,2024.0,7.0,3.0,Thursday
,Store A,WEST,Laptop Pro 15,ELECTRONICS,456.11,6,2736.66,urgent,03/21/2024 12:00 AM,,,,
2024-01-24,Store-A,SOUTH,Ltp Pro 15,ACCESSORIES,580.42,3,1741.2599999999998,urgent,2024-09-28 00:00,2024.0,1.0,1.0,Wednesday
,Store-E,NORTH,Tablet,ELECTRONICS,328.46,7,2299.22,manual override,01/18/2024 12:00 AM,,,,
2024-06-07,Store D,NORTH,Laptop Pro - 15,ELECTRONICS,1426.41,6,8558.460000000001,manual override,,2024.0,6.0,2.0,Friday
,Store A,WEST,Smart Phone X,ACCESSORIES,471.6,6,2829.6000000000004,,2024-12-06 00:00,,,,
2024-11-29,Store E,NORTH,Smartphone X,ACCESSORIES,1019.4,7,7135.8,manual override,2024-08-08 00:00,2024.0,11.0,4.0,Friday
2024-01-16,Store B,WEST,Smartphone X,ACCESSORIES,264.45,10,2644.5,,2024-05-09 00:00,2024.0,1.0,1.0,Tuesday
2024-10-26,Store D,,Smartphone X,,107.09,4,428.36,urgent,,2024.0,10.0,4.0,Saturday
,Store-E,NORTH,Laptop Pro - 15,ACCESSORIES,1666.77,9,15000.93,check later,,,,,
2024-11-19,Store-A,WEST,Laptop Pro 15,ACCESSORIES,730.74,7,5115.18,check later,2024-02-28 00:00,2024.0,11.0,4.0,Tuesday
,Store B,SOUTH,Tablet Plus,ELECTRONICS,751.83,6,4510.9800000000005,urgent,01/07/2024 12:00 AM,,,,
2024-04-18,Store-C,WEST,Tablet,ELECTRONICS,45.05,2,90.1,,08/19/2024 12:00 AM,2024.0,4.0,2.0,Thursday
2024-09-08,Store C,WEST,Tablet,ELECTRONICS,1073.18,6,6439.08,,2024-11-09 00:00,2024.0,9.0,3.0,Sunday
,Store-E,EAST,Laptop Pro 15,ACCESSORIES,1423.31,6,8539.86,,,,,,
,Store D,SOUTH,Tablet,ELECTRONICS,1735.32,1,1735.32,,05/04/2024 12:00 AM,,,,
,Store A,EAST,Ltp Pro 15,ELECTRONICS,182.79,6,1096.74,promo applied,2024-10-08 00:00,,,,
,Store D,,Ltp Pro 15,ACCESSORIES,1631.64,9,14684.76,promo applied,,,,,
2024-10-24,Store-E,SOUTH,Laptop Pro - 15,ACCESSORIES,289.46,3,868.3799999999999,,2024-09-25 00:00,2024.0,10.0,4.0,Thursday
2024-01-13,Store-A,EAST,Laptop Pro15,ELECTRONICS,967.16,5,4835.8,promo applied,2024-02-25 00:00,2024.0,1.0,1.0,Saturday
,Store C,NORTH,Ltp Pro 15,ELECTRONICS,1546.16,1,1546.16,check later,2024-11-02 00:00,,,,
2024-09-27,Store A,EAST,Laptop Pro15,ELECTRONICS,1572.25,8,12578.0,check later,01/18/2024 12:00 AM,2024.0,9.0,3.0,Friday
,Store-A,SOUTH,Laptop Pro - 15,ELECTRONICS,1206.56,7,8445.92,,,,,,
,Store D,NORTH,Ltp Pro 15,ACCESSORIES,345.42,2,690.84,,05/07/2024 12:00 AM,,,,
,Store D,SOUTH,Smart Phone X,ACCESSORIES,314.39,7,2200.73,promo applied,2024-11-28 00:00,,,,
,Store-B,EAST,Tablet Plus,ELECTRONICS,140.13,5,700.65,promo applied,03/20/2024 12:00 AM,,,,
,Store B,,Smartphone X,ACCESSORIES,1931.17,7,13518.19,,2024-07-03 00:00,,,,
,Store D,NORTH,Smartphone X,ACCESSORIES,1606.1,4,6424.4,,2024-12-28 00:00,,,,
,Store-E,WEST,Ltp Pro 15,ELECTRONICS,1121.2,4,4484.8,,2024-07-31 00:00,,,,
,Store-A,SOUTH,Smartphone X,ELECTRONICS,980.52,4,3922.08,urgent,03/09/2024 12:00 AM,,,,
,Store-A,,Smartphone X,,393.26,3,1179.78,promo applied,03/20/2024 12:00 AM,,,,
2024-03-07,Store-C,,Smart Phone X,ACCESSORIES,1835.9,1,1835.9,urgent,2024-09-29 00:00,2024.0,3.0,1.0,Thursday
,Store C,WEST,Laptop Pro - 15,ELECTRONICS,1734.73,8,13877.84,check later,07/25/2024 12:00 AM,,,,
,Store C,EAST,Ltp Pro 15,ELECTRONICS,1865.52,7,13058.64,check later,10/03/2024 12:00 AM,,,,
,Store E,,Laptop Pro - 15,ACCESSORIES,360.26,6,2161.56,,06/22/2024 12:00 AM,,,,
,Store A,SOUTH,Laptop Pro 15,ACCESSORIES,147.4,8,1179.2,,,,,,
,Store-C,NORTH,Smartphone X,ELECTRONICS,21.26,8,170.08,check later,,,,,
,Store-B,WEST,Laptop Pro15,ELECTRONICS,31.28,3,93.84,promo applied,03/13/2024 12:00 AM,,,,
,Store-C,EAST,Ltp Pro 15,ELECTRONICS,541.69,1,541.69,manual override,03/08/2024 12:00 AM,,,,
,Store-E,SOUTH,Smartphone X,ACCESSORIES,36.62,2,73.24,,01/05/2024 12:00 AM,,,,
,Store A,WEST,Ltp Pro 15,ACCESSORIES,142.74,4,570.96,urgent,2024-08-25 00:00,,,,
,Store-D,EAST,Laptop Pro15,ACCESSORIES,459.73,4,1838.92,promo applied,04/22/2024 12:00 AM,,,,
2024-01-14,Store-D,NORTH,Laptop Pro - 15,,1855.99,7,12991.93,,12/28/2024 12:00 AM,2024.0,1.0,1.0,Sunday
,Store C,NORTH,Laptop Pro15,ACCESSORIES,1243.08,5,6215.4,urgent,12/17/2024 12:00 AM,,,,
,Store B,SOUTH,Tablet,ACCESSORIES,1969.07,1,1969.07,,10/16/2024 12:00 AM,,,,
,Store-B,NORTH,Laptop Pro 15,ACCESSORIES,49.5,5,247.5,,02/16/2024 12:00 AM,,,,
2024-04-24,Store-D,WEST,Tablet,ELECTRONICS,1268.17,10,12681.7,,07/10/2024 12:00 AM,2024.0,4.0,2.0,Wednesday
,Store A,,Laptop Pro 15,ELECTRONICS,310.53,5,1552.6499999999999,urgent,2024-02-04 00:00,,,,
,Store-E,SOUTH,Tablet,ELECTRONICS,965.72,1,965.72,,11/30/2024 12:00 AM,,,,
,Store-E,SOUTH,Laptop Pro15,ELECTRONICS,673.67,2,1347.34,,11/23/2024 12:00 AM,,,,
2024-01-09,Store E,WEST,Smartfone X,ELECTRONICS,1818.62,5,9093.099999999999,urgent,01/01/2024 12:00 AM,2024.0,1.0,1.0,Tuesday
2024-01-25,Store-B,NORTH,Smart Phone X,ELECTRONICS,81.94,8,655.52,urgent,01/29/2024 12:00 AM,2024.0,1.0,1.0,Thursday
,Store-D,,Ltp Pro 15,ACCESSORIES,61.6,5,308.0,,12/24/2024 12:00 AM,,,,
,Store A,EAST,Laptop Pro - 15,,15.74,6,94.44,,03/28/2024 12:00 AM,,,,
2024-04-11,Store-C,NORTH,Smart Phone X,ELECTRONICS,441.21,9,3970.89,check later,,2024.0,4.0,2.0,Thursday
2024-08-24,Store-B,EAST,Laptop Pro 15,ELECTRONICS,1054,10,10540.0,,2024-08-20 00:00,2024.0,8.0,3.0,Saturday
,Store-A,NORTH,Tablet Plus,ACCESSORIES,1899.2,8,15193.6,promo applied,09/30/2024 12:00 AM,,,,
2024-07-08,Store C,WEST,Smartfone X,ACCESSORIES,284.73,3,854.19,,2024-12-18 00:00,2024.0,7.0,3.0,Monday
,Store-E,WEST,Laptop Pro 15,ELECTRONICS,1839.08,2,3678.16,,03/20/2024 12:00 AM,,,,
2024-07-11,Store E,EAST,Laptop Pro 15,ACCESSORIES,97.97,5,489.85,promo applied,01/31/2024 12:00 AM,2024.0,7.0,3.0,Thursday
,Store C,SOUTH,Smart Phone X,ELECTRONICS,1057.54,2,2115.08,manual override,06/07/2024 12:00 AM,,,,
,Store D,WEST,Laptop Pro15,ACCESSORIES,115.63,1,115.63,urgent,03/01/2024 12:00 AM,,,,
,Store D,EAST,Smartphone X,ACCESSORIES,1918.5,5,9592.5,manual override,01/23/2024 12:00 AM,,,,
2024-06-04,Store E,EAST,Laptop Pro15,ACCESSORIES,78.81,2,157.62,manual override,2024-10-23 00:00,2024.0,6.0,2.0,Tuesday
,Store C,WEST,Smartphone X,ACCESSORIES,653.75,8,5230.0,promo applied,,,,,
,Store D,EAST,Laptop Pro15,,1140.11,99,112870.88999999998,,2024-08-10 00:00,,,,
,Store E,NORTH,Smart Phone X,ELECTRONICS,1036.48,3,3109.44,promo applied,2024-03-12 00:00,,,,
2024-11-14,Store E,EAST,Tablet Plus,ACCESSORIES,1291.95,7,9043.65,,,2024.0,11.0,4.0,Thursday
2024-11-29,Store E,NORTH,Smartfone X,ELECTRONICS,423.71,3,1271.1299999999999,,03/25/2024 12:00 AM,2024.0,11.0,4.0,Friday
2024-09-30,Store E,NORTH,Smartphone X,,253.39,8,2027.12,urgent,2024-05-26 00:00,2024.0,9.0,3.0,Monday
,Store D,EAST,Smartfone X,ACCESSORIES,1639.31,8,13114.48,manual override,2024-10-08 00:00,,,,
2024-12-02,Store E,WEST,Tablet Plus,ELECTRONICS,1861.11,4,7444.44,promo applied,09/07/2024 12:00 AM,2024.0,12.0,4.0,Monday
,Store C,,Smart Phone X,ELECTRONICS,1851.47,6,11108.82,check later,2024-02-29 00:00,,,,
,Store E,SOUTH,Ltp Pro 15,ELECTRONICS,1911.68,2,3823.36,,06/24/2024 12:00 AM,,,,
,Store B,NORTH,Laptop Pro - 15,ELECTRONICS,1489.58,10,14895.8,manual override,2024-12-22 00:00,,,,
,Store C,EAST,Smartfone X,ELECTRONICS,628.03,4,2512.12,promo applied,2024-04-16 00:00,,,,
,Store D,SOUTH,Smart Phone X,ACCESSORIES,756.12,10,7561.2,check later,03/10/2024 12:00 AM,,,,
,Store E,EAST,Smartfone X,ELECTRONICS,381.38,8,3051.04,promo applied,2024-05-02 00:00,,,,
,Store-D,SOUTH,Tablet,ACCESSORIES,268.64,2,537.28,,11/09/2024 12:00 AM,,,,
,Store A,NORTH,Smart Phone X,ACCESSORIES,556.53,8,4452.24,,12/26/2024 12:00 AM,,,,
,Store D,WEST,Smart Phone X,ACCESSORIES,219.08,8,1752.64,promo applied,05/19/2024 12:00 AM,,,,
2024-11-19,Store-D,NORTH,Smartfone X,ELECTRONICS,1311.15,8,10489.2,urgent,02/24/2024 12:00 AM,2024.0,11.0,4.0,Tuesday
,Store-C,NORTH,Laptop Pro 15,ELECTRONICS,948.9,2,1897.8,promo applied,2024-12-04 00:00,,,,
,Store D,EAST,Smartphone X,,1953.47,3,5860.41,promo applied,,,,,
,Store B,WEST,Laptop Pro 15,ELECTRONICS,679.64,4,2718.56,check later,07/05/2024 12:00 AM,,,,
,Store A,NORTH,Smart Phone X,ACCESSORIES,1384.05,2,2768.1,,11/18/2024 12:00 AM,,,,
,Store-C,,Ltp Pro 15,,947.89,3,2843.67,manual override,06/23/2024 12:00 AM,,,,
,Store E,SOUTH,Tablet Plus,,309.27,1,309.27,manual override,,,,,
,Store B,SOUTH,Laptop Pro 15,ELECTRONICS,991.84,5,4959.2,urgent,2024-01-24 00:00,,,,
2024-07-26,Store A,NORTH,Smartphone X,,1489.06,8,11912.48,check later,04/24/2024 12:00 AM,2024.0,7.0,3.0,Friday
2024-02-05,Store E,EAST,Smart Phone X,ELECTRONICS,1499.42,9,13494.78,promo applied,11/26/2024 12:00 AM,2024.0,2.0,1.0,Monday
2024-05-12,Store B,SOUTH,Laptop Pro 15,ELECTRONICS,1505.1,4,6020.4,,01/18/2024 12:00 AM,2024.0,5.0,2.0,Sunday
2024-11-08,Store-E,SOUTH,Laptop Pro15,ELECTRONICS,692.49,7,4847.43,urgent,2024-02-14 00:00,2024.0,11.0,4.0,Friday
2024-07-18,Store B,NORTH,Smartfone X,ACCESSORIES,183.71,9,1653.39,,07/27/2024 12:00 AM,2024.0,7.0,3.0,Thursday
2024-11-16,Store B,WEST,Tablet,ELECTRONICS,1454.94,3,4364.82,,06/04/2024 12:00 AM,2024.0,11.0,4.0,Saturday
,Store C,WEST,Tablet Plus,ACCESSORIES,847.12,9,7624.08,promo applied,2024-06-11 00:00,,,,
,Store-B,EAST,Smartphone X,ELECTRONICS,1896.15,9,17065.350000000002,,2024-04-30 00:00,,,,
,Store E,EAST,Tablet Plus,ACCESSORIES,583.11,7,4081.77,,12/23/2024 12:00 AM,,,,
,Store C,SOUTH,Laptop Pro15,ACCESSORIES,1911.77,1,1911.77,,,,,,
,Store D,NORTH,Laptop Pro 15,ELECTRONICS,204.31,8,1634.48,manual override,2024-12-26 00:00,,,,
,Store-D,EAST,Smartfone X,ELECTRONICS,1155.08,10,11550.8,,11/10/2024 12:00 AM,,,,
,Store-E,SOUTH,Tablet,ELECTRONICS,1887.54,9,16987.86,,01/27/2024 12:00 AM,,,,
,Store B,NORTH,Tablet,ACCESSORIES,224.47,10,2244.7,,2024-01-04 00:00,,,,
2024-01-30,Store C,WEST,Tablet,ELECTRONICS,647.51,9,5827.59,,,2024.0,1.0,1.0,Tuesday
,Store-D,SOUTH,Tablet,ELECTRONICS,38.38,5,191.9,promo applied,2024-01-02 00:00,,,,
2024-02-02,Store-C,EAST,Laptop Pro15,ELECTRONICS,869.95,4,3479.8,promo applied,2024-11-01 00:00,2024.0,2.0,1.0,Friday
,Store-E,EAST,Smartfone X,ELECTRONICS,1563.99,6,9383.94,urgent,2024-02-29 00:00,,,,
,Store-E,SOUTH,Smartphone X,ACCESSORIES,567.52,10,5675.2,,2024-03-26 00:00,,,,
,Store-C,EAST,Tablet,,88.43,10,884.3000000000001,,,,,,
,Store A,SOUTH,Laptop Pro 15,ELECTRONICS,1401.2,8,11209.6,,12/28/2024 12:00 AM,,,,
2024-10-05,Store D,WEST,Smart Phone X,ACCESSORIES,470.15,3,1410.4499999999998,,,2024.0,10.0,4.0,Saturday
,Store-B,EAST,Laptop Pro - 15,ACCESSORIES,190.92,4,763.68,check later,2024-09-19 00:00,,,,
,Store B,EAST,Laptop Pro15,ELECTRONICS,1502.82,4,6011.28,,02/05/2024 12:00 AM,,,,
,Store D,NORTH,Tablet Plus,ELECTRONICS,1902.42,7,13316.94,,2024-11-29 00:00,,,,
,Store B,EAST,Smartphone X,ACCESSORIES,461.58,2,923.16,,2024-08-14 00:00,,,,
,Store-B,SOUTH,Smartphone X,,346.44,2,692.88,check later,2024-06-02 00:00,,,,
,Store D,NORTH,Ltp Pro 15,ELECTRONICS,476.9,10,4769.0,,2024-11-23 00:00,,,,
,Store D,NORTH,Ltp Pro 15,,1352.04,1,1352.04,check later,2024-10-23 00:00,,,,
,Store A,NORTH,Tablet,ACCESSORIES,412.97,9,3716.7300000000005,,11/11/2024 12:00 AM,,,,
,Store-A,SOUTH,Tablet,ACCESSORIES,89.2,8,713.6,urgent,2024-09-15 00:00,,,,
,Store B,SOUTH,Laptop Pro - 15,ACCESSORIES,1249.3,9,11243.699999999999,urgent,2024-03-29 00:00,,,,
,Store D,SOUTH,Laptop Pro15,ELECTRONICS,1568.37,2,3136.74,urgent,2024-01-29 00:00,,,,
,Store B,NORTH,Smartphone X,ACCESSORIES,1246.1,6,7476.599999999999,check later,2024-12-10 00:00,,,,
,Store A,NORTH,Laptop Pro15,ELECTRONICS,1345.55,6,8073.299999999999,,2024-10-08 00:00,,,,
,Store-A,WEST,Tablet Plus,ACCESSORIES,1604.81,2,3209.62,urgent,02/09/2024 12:00 AM,,,,
,Store-D,NORTH,Laptop Pro 15,ACCESSORIES,1157.3,8,9258.4,promo applied,04/05/2024 12:00 AM,,,,
2024-07-15,Store B,NORTH,Laptop Pro15,ACCESSORIES,1208.42,1,1208.42,urgent,2024-08-10 00:00,2024.0,7.0,3.0,Monday
,Store A,NORTH,Laptop Pro 15,ELECTRONICS,1023.53,8,8188.24,,2024-09-16 00:00,,,,
2024-10-22,Store-C,SOUTH,Laptop Pro - 15,ACCESSORIES,387.12,4,1548.48,,01/19/2024 12:00 AM,2024.0,10.0,4.0,Tuesday
2024-02-27,Store B,WEST,Smartphone X,,1931.27,7,13518.89,manual override,,2024.0,2.0,1.0,Tuesday
2024-09-14,Store-D,NORTH,Smart Phone X,ELECTRONICS,364.23,1,364.23,promo applied,06/13/2024 12:00 AM,2024.0,9.0,3.0,Saturday
,Store E,NORTH,Tablet Plus,ACCESSORIES,535.05,2,1070.1,,2024-11-02 00:00,,,,
,Store-B,SOUTH,Smartphone X,ELECTRONICS,1242.58,2,2485.16,urgent,,,,,
,Store C,WEST,Laptop Pro15,ACCESSORIES,1911.6,4,7646.4,,05/11/2024 12:00 AM,,,,
,Store-C,,Smartfone X,ELECTRONICS,583.8,8,4670.4,urgent,2024-01-04 00:00,,,,
2024-04-02,Store B,NORTH,Smartfone X,ACCESSORIES,1850.15,9,16651.350000000002,,10/19/2024 12:00 AM,2024.0,4.0,2.0,Tuesday
,Store B,NORTH,Smart Phone X,ELECTRONICS,591.62,5,2958.1,,11/10/2024 12:00 AM,,,,
,Store A,NORTH,Smartphone X,ELECTRONICS,1606.65,1,1606.65,promo applied,,,,,
,Store D,NORTH,Laptop Pro - 15,ELECTRONICS,1320.17,4,5280.68,check later,05/06/2024 12:00 AM,,,,
,Store E,NORTH,Tablet,ACCESSORIES,1073.97,3,3221.91,,2024-02-15 00:00,,,,
,Store C,NORTH,Tablet Plus,ELECTRONICS,823.52,5,4117.6,,2024-07-14 00:00,,,,
2024-07-22,Store-A,WEST,Smartphone X,ACCESSORIES,1399.44,8,11195.52,urgent,,2024.0,7.0,3.0,Monday
,Store-A,WEST,Smartphone X,ACCESSORIES,1383.5,4,5534.0,urgent,2024-04-16 00:00,,,,
2024-12-02,Store C,SOUTH,Smartphone X,ACCESSORIES,1247.86,7,8735.019999999999,,2024-07-09 00:00,2024.0,12.0,4.0,Monday
,Store-C,NORTH,Ltp Pro 15,,1680.48,7,11763.36,,2024-07-22 00:00,,,,
,Store A,EAST,Ltp Pro 15,ACCESSORIES,1806.75,10,18067.5,,2024-11-21 00:00,,,,
,Store E,NORTH,Laptop Pro - 15,ELECTRONICS,1315.94,10,13159.400000000001,promo applied,2024-06-17 00:00,,,,
,Store-E,NORTH,Laptop Pro - 15,ACCESSORIES,590.99,8,4727.92,,2024-03-31 00:00,,,,
,Store C,EAST,Tablet Plus,ELECTRONICS,630.95,3,1892.8500000000001,,,,,,
,Store-B,,Ltp Pro 15,ELECTRONICS,35.56,8,284.48,manual override,2024-03-11 00:00,,,,
,Store-B,WEST,Smartfone X,ACCESSORIES,582.12,5,2910.6,,02/02/2024 12:00 AM,,,,
,Store-B,EAST,Ltp Pro 15,,1288.13,3,3864.3900000000003,manual override,2024-10-23 00:00,,,,
2024-05-26,Store-A,EAST,Laptop Pro15,ACCESSORIES,474.81,5,2374.05,manual override,2024-11-01 00:00,2024.0,5.0,2.0,Sunday
2024-10-29,Store D,EAST,Smartphone X,ACCESSORIES,581.08,1,581.08,promo applied,05/26/2024 12:00 AM,2024.0,10.0,4.0,Tuesday
,Store-B,NORTH,Smartfone X,,1624.67,8,12997.36,,2024-03-24 00:00,,,,
,Store-D,,Laptop Pro - 15,ELECTRONICS,1022.34,8,8178.72,manual override,2024-02-18 00:00,,,,
,Store-B,WEST,Smartfone X,,251.22,10,2512.2,,12/23/2024 12:00 AM,,,,
,Store E,,Smartfone X,ELECTRONICS,928.8,8,7430.4,,08/27/2024 12:00 AM,,,,
,Store D,,Smartphone X,ELECTRONICS,734.68,2,1469.36,,2024-03-20 00:00,,,,
,Store B,NORTH,Laptop Pro - 15,ELECTRONICS,1712.6,2,3425.2,,10/12/2024 12:00 AM,,,,
,Store-D,SOUTH,Laptop Pro 15,ACCESSORIES,99.82,6,598.92,check later,09/14/2024 12:00 AM,,,,
,Store-C,WEST,Tablet Plus,,530.73,8,4245.84,,2024-03-24 00:00,,,,
2024-05-21,Store A,EAST,Smart Phone X,ELECTRONICS,1738.4,3,5215.200000000001,,,2024.0,5.0,2.0,Tuesday
,Store-A,EAST,Smartphone X,ACCESSORIES,680.35,1,680.35,urgent,2024-09-09 00:00,,,,
,Store-E,,Laptop Pro15,ACCESSORIES,1249.17,10,12491.7,manual override,2024-11-19 00:00,,,,
,Store A,,Ltp Pro 15,ELECTRONICS,1418.65,4,5674.6,urgent,2024-05-08 00:00,,,,
2024-04-20,Store-C,WEST,Ltp Pro 15,ELECTRONICS,1687.71,1,1687.71,,2024-03-22 00:00,2024.0,4.0,2.0,Saturday
,Store-E,EAST,Laptop Pro15,ACCESSORIES,246.76,9,2220.84,,2024-06-12 00:00,,,,
,Store D,WEST,Smartfone X,ELECTRONICS,1968.09,8,15744.72,promo applied,,,,,
,Store E,EAST,Ltp Pro 15,ACCESSORIES,1925.12,10,19251.199999999997,urgent,2024-03-12 00:00,,,,
,Store D,WEST,Laptop Pro15,ELECTRONICS,1760.45,5,8802.25,check later,2024-11-20 00:00,,,,
,Store A,NORTH,Laptop Pro - 15,ELECTRONICS,1230.86,4,4923.44,check later,2024-10-08 00:00,,,,
,Store E,NORTH,Smartfone X,ELECTRONICS,1378.13,10,13781.300000000001,,06/10/2024 12:00 AM,,,,
,Store-D,NORTH,Ltp Pro 15,,1226.89,8,9815.12,,05/03/2024 12:00 AM,,,,
,Store-C,WEST,Smartfone X,ELECTRONICS,1036.3,5,5181.5,check later,2024-12-05 00:00,,,,
,Store A,SOUTH,Ltp Pro 15,ELECTRONICS,1287.02,9,11583.18,urgent,10/13/2024 12:00 AM,,,,
,Store-D,NORTH,Smartphone X,ACCESSORIES,128.23,9,1154.07,,,,,,
,Store-A,,Tablet Plus,ELECTRONICS,516.85,3,1550.5500000000002,urgent,09/03/2024 12:00 AM,,,,
2024-07-31,Store-E,NORTH,Tablet Plus,,1832.63,6,10995.78,,2024-08-24 00:00,2024.0,7.0,3.0,Wednesday
,Store-C,NORTH,Laptop Pro15,ELECTRONICS,1048.7,9,9438.300000000001,,2024-12-26 00:00,,,,
2024-08-29,Store-A,WEST,Laptop Pro 15,ELECTRONICS,179.92,6,1079.52,promo applied,2024-09-21 00:00,2024.0,8.0,3.0,Thursday
,Store-C,SOUTH,Tablet,ACCESSORIES,129.98,1,129.98,check later,04/01/2024 12:00 AM,,,,
,Store B,SOUTH,Laptop Pro15,ACCESSORIES,1196.39,6,7178.34,,03/01/2024 12:00 AM,,,,
,Store-C,,Smartfone X,ELECTRONICS,588.32,10,5883.200000000001,,06/09/2024 12:00 AM,,,,
,Store B,EAST,Laptop Pro - 15,ACCESSORIES,1194.66,7,8362.62,,2024-09-25 00:00,,,,
,Store-B,EAST,Smartfone X,,245.37,7,1717.5900000000001,urgent,03/09/2024 12:00 AM,,,,
2024-09-24,Store E,EAST,Smartphone X,ACCESSORIES,1917.76,5,9588.8,manual override,,2024.0,9.0,3.0,Tuesday
